1,18,먼작귀 1 (그림책 포함 특별판),나가노 (지은이)미우(대원씨아이)2022-06-27,164쪽148*210mm (A5)213gISBN : 9791168944442,"
국내도서 > 만화 > 만화그리기와 읽기 > 만화작법/일러스트 접기
",목차없음
1,19,Shrink 슈링크 2,"츠키코 (지은이),나나미 진 (원작),천선필 (옮긴이)㈜소미미디어2022-06-24",200쪽128*180mm200gISBN : 9791138410953,"
국내도서 > 만화 > 직장인만화 접기국내도서 > 만화 > 논픽션/휴먼만화 접기
",목차없음
1,20,"내가 연인이 될 수 있을 리 없잖아, 무리무리! (※무리가 아니었다?!) 3","뭇슈 (지은이),미카미 테렌 (원작),타케시마 에쿠 (그림),정백송 (옮긴이)㈜소미미디어2022-06-24",224쪽128*180mm224gISBN : 9791138410823,"
국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기국내도서 > 만화 > 소년만화 > 학원물 접기
",목차없음
1,21,나이츠 & 매직 4,"카토 타쿠지 (지은이),아마자케노 히사고 (원작),쿠로긴 (그림),박경용 (옮긴이)㈜소미미디어2022-06-24",162쪽128*180mm162gISBN : 9791138410847,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 액션 판타지 접기국내도서 > 만화 > 본격장르만화 > SF/가상사회 접기
",목차없음
1,22,"아빠, 나 이 결혼 안 할래요 3","Roal (지은이),홍희수 (원작),유리 (각색)씨엔씨레볼루션2022-06-24",296쪽148*210mm (A5)385gISBN : 9791191145687,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기
",목차없음
1,23,니코는 괴로워 6,"알데히드 (지은이),이하니 (옮긴이)영상출판미디어(주)2022-06-22",120쪽148*210mm (A5)156gISBN : 9791138002493,"
국내도서 > 만화 > 코믹/명랑만화 접기국내도서 > 만화 > 소년만화 > 청소년 성장 접기
",목차없음
1,24,츤데레 악역 영애 리젤로테와 실황의 엔도 군과 해설의 코바야시 양 2,"사카키 루미오 (지은이),에노시마 스즈 (원작),JYH (옮긴이)영상출판미디어(주)2022-06-22",154쪽148*210mm (A5)200gISBN : 9791138002486,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기
",목차없음
1,25,노후를 대비해 이세계에서 금화 8만 개를 모읍니다 2,"모토에 케이스케 (지은이),FUNA (원작),JYH (옮긴이)영상출판미디어(주)2022-06-22",184쪽126*180mm184gISBN : 9791138002509,"
국내도서 > 만화 > 본격장르만화 > 판타지 > 드라마틱 판타지 접기국내도서 > 만화 > 코믹/명랑만화 접기
",목차없음
2,1,장씨세가 호위무사 3,"김인호 (지은이),조형근 (원작)영컴(YOUNG COM)2022-06-21",272쪽145*200mm354gISBN : 9791167791061,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 본격장르만화 > 판타지 > 액션 판타지 접기
",목차없음
2,2,[세트] 동트는 로맨스 3~4 세트 - 전2권 (일반판),유월 (지은이)거북이북스(유어마나)2022-06-21,508쪽150*210mm660gISBN : K722838476,"
국내도서 > 만화 > 인터넷 연재 만화 접기국내도서 > 만화 > 순정만화 > 레이디스 코믹 접기
",목차없음
